Workflow,Baseline,Molecule,Geometry_Param,E_HF,E_FCI,E_CISD,n_spatial,Edge_Index,Edge_P,Edge_Q,Selection_Source,Expectation,Variance,Cost_Final,Mean_Abs_Expectation,Min_Abs_Expectation,Max_Variance,Degree_Sequence,Components,Component_Count,Cycle_Count,Algebraic_Rank,Vertices_Involved,Edge_Jaccard_Prev
quartet_baseline,balanced_tree,h4_linear,0.6,-1.9295642484520141,-1.960193644893937,-1.9600816088821316,4,0,0,1,balanced_tree,0.9999976803348144,4.639324990396432e-06,9.278649980792864e-06,0.9999988401674071,0.9999976803348144,4.639324990396432e-06,3 2 2 1,0-1-2-3,1,1,3,4,nan
quartet_baseline,balanced_tree,h4_linear,0.6,-1.9295642484520141,-1.960193644893937,-1.9600816088821316,4,1,0,2,balanced_tree,1.0,0.0,9.278649980792864e-06,0.9999988401674071,0.9999976803348144,4.639324990396432e-06,3 2 2 1,0-1-2-3,1,1,3,4,nan
quartet_baseline,balanced_tree,h4_linear,0.6,-1.9295642484520141,-1.960193644893937,-1.9600816088821316,4,2,1,3,balanced_tree,1.0,0.0,9.278649980792864e-06,0.9999988401674071,0.9999976803348144,4.639324990396432e-06,3 2 2 1,0-1-2-3,1,1,3,4,nan
quartet_baseline,balanced_tree,h4_linear,0.6,-1.9295642484520141,-1.960193644893937,-1.9600816088821316,4,3,0,3,balanced_tree,0.9999976803348144,4.639324990396432e-06,9.278649980792864e-06,0.9999988401674071,0.9999976803348144,4.639324990396432e-06,3 2 2 1,0-1-2-3,1,1,3,4,nan
quartet_baseline,balanced_tree,h4_linear,1.088888888888889,-2.061329870892475,-2.1415815156877973,-2.1393848193663776,4,0,0,1,balanced_tree,0.9998379204773505,0.0003241327755272305,0.000648265551054461,0.9999189602386753,0.9998379204773505,0.0003241327755272305,3 2 2 1,0-1-2-3,1,1,3,4,1.0
quartet_baseline,balanced_tree,h4_linear,1.088888888888889,-2.061329870892475,-2.1415815156877973,-2.1393848193663776,4,1,0,2,balanced_tree,1.0,0.0,0.000648265551054461,0.9999189602386753,0.9998379204773505,0.0003241327755272305,3 2 2 1,0-1-2-3,1,1,3,4,1.0
quartet_baseline,balanced_tree,h4_linear,1.088888888888889,-2.061329870892475,-2.1415815156877973,-2.1393848193663776,4,2,1,3,balanced_tree,1.0,0.0,0.000648265551054461,0.9999189602386753,0.9998379204773505,0.0003241327755272305,3 2 2 1,0-1-2-3,1,1,3,4,1.0
quartet_baseline,balanced_tree,h4_linear,1.088888888888889,-2.061329870892475,-2.1415815156877973,-2.1393848193663776,4,3,0,3,balanced_tree,0.9998379204773505,0.0003241327755272305,0.000648265551054461,0.9999189602386753,0.9998379204773505,0.0003241327755272305,3 2 2 1,0-1-2-3,1,1,3,4,1.0
quartet_baseline,balanced_tree,h4_linear,1.577777777777778,-1.7846527713481148,-1.9735101698927369,-1.9546738900411742,4,0,0,1,balanced_tree,0.9968793593885974,0.006231542824979619,0.012463085649959238,0.9984396796942987,0.9968793593885974,0.006231542824979619,3 2 2 1,0-1-2-3,1,1,3,4,1.0
quartet_baseline,balanced_tree,h4_linear,1.577777777777778,-1.7846527713481148,-1.9735101698927369,-1.9546738900411742,4,1,0,2,balanced_tree,1.0,0.0,0.012463085649959238,0.9984396796942987,0.9968793593885974,0.006231542824979619,3 2 2 1,0-1-2-3,1,1,3,4,1.0
quartet_baseline,balanced_tree,h4_linear,1.577777777777778,-1.7846527713481148,-1.9735101698927369,-1.9546738900411742,4,2,1,3,balanced_tree,1.0,0.0,0.012463085649959238,0.9984396796942987,0.9968793593885974,0.006231542824979619,3 2 2 1,0-1-2-3,1,1,3,4,1.0
quartet_baseline,balanced_tree,h4_linear,1.577777777777778,-1.7846527713481148,-1.9735101698927369,-1.9546738900411742,4,3,0,3,balanced_tree,0.9968793593885974,0.006231542824979619,0.012463085649959238,0.9984396796942987,0.9968793593885974,0.006231542824979619,3 2 2 1,0-1-2-3,1,1,3,4,1.0
quartet_baseline,balanced_tree,h4_linear,2.066666666666667,-1.5485090794263658,-1.8917227071300122,-1.8502319835548573,4,0,0,1,balanced_tree,0.9928463851206342,0.014256055552889335,0.02851211110577867,0.9964231925603171,0.9928463851206342,0.014256055552889335,3 2 2 1,0-1-2-3,1,1,3,4,1.0
quartet_baseline,balanced_tree,h4_linear,2.066666666666667,-1.5485090794263658,-1.8917227071300122,-1.8502319835548573,4,1,0,2,balanced_tree,1.0,0.0,0.02851211110577867,0.9964231925603171,0.9928463851206342,0.014256055552889335,3 2 2 1,0-1-2-3,1,1,3,4,1.0
quartet_baseline,balanced_tree,h4_linear,2.066666666666667,-1.5485090794263658,-1.8917227071300122,-1.8502319835548573,4,2,1,3,balanced_tree,1.0,0.0,0.02851211110577867,0.9964231925603171,0.9928463851206342,0.014256055552889335,3 2 2 1,0-1-2-3,1,1,3,4,1.0
quartet_baseline,balanced_tree,h4_linear,2.066666666666667,-1.5485090794263658,-1.8917227071300122,-1.8502319835548573,4,3,0,3,balanced_tree,0.9928463851206342,0.014256055552889335,0.02851211110577867,0.9964231925603171,0.9928463851206342,0.014256055552889335,3 2 2 1,0-1-2-3,1,1,3,4,1.0
quartet_baseline,balanced_tree,h4_linear,2.555555555555556,-1.3961315620107175,-1.8711756238865853,-1.862582465849759,4,0,0,1,balanced_tree,0.9969916792348417,0.006007591536490553,0.012015183072981106,0.9984958396174208,0.9969916792348417,0.006007591536490553,3 2 2 1,0-1-2-3,1,1,3,4,1.0
quartet_baseline,balanced_tree,h4_linear,2.555555555555556,-1.3961315620107175,-1.8711756238865853,-1.862582465849759,4,1,0,2,balanced_tree,1.0,0.0,0.012015183072981106,0.9984958396174208,0.9969916792348417,0.006007591536490553,3 2 2 1,0-1-2-3,1,1,3,4,1.0
quartet_baseline,balanced_tree,h4_linear,2.555555555555556,-1.3961315620107175,-1.8711756238865853,-1.862582465849759,4,2,1,3,balanced_tree,1.0,0.0,0.012015183072981106,0.9984958396174208,0.9969916792348417,0.006007591536490553,3 2 2 1,0-1-2-3,1,1,3,4,1.0
quartet_baseline,balanced_tree,h4_linear,2.555555555555556,-1.3961315620107175,-1.8711756238865853,-1.862582465849759,4,3,0,3,balanced_tree,0.9969916792348417,0.006007591536490553,0.012015183072981106,0.9984958396174208,0.9969916792348417,0.006007591536490553,3 2 2 1,0-1-2-3,1,1,3,4,1.0
quartet_baseline,balanced_tree,h4_linear,3.0444444444444447,-1.307165888764612,-1.8671422753389038,-1.8657570632451832,4,0,0,1,balanced_tree,0.9994294231538587,0.0011408281343451288,0.002281656268712018,0.9997147115769267,0.999429423153855,0.0011408281343526783,3 2 2 1,0-1-2-3,1,1,3,4,1.0
quartet_baseline,balanced_tree,h4_linear,3.0444444444444447,-1.307165888764612,-1.8671422753389038,-1.8657570632451832,4,1,0,2,balanced_tree,0.9999999999999964,7.105427357601002e-15,0.002281656268712018,0.9997147115769267,0.999429423153855,0.0011408281343526783,3 2 2 1,0-1-2-3,1,1,3,4,1.0
