Epsilon,ParentProtocol,EnergyTarget,VarPre,KPre,VarPost,KPost,Recovered
0.3,matching,-2.141349800090064,1.0412687026107805,67,0.0,1,1
0.3,ring,-2.141349800090064,1.6168839027849393,67,0.0,1,1
0.3,hub,-2.141349800090064,1.4078668658282338,67,0.0,1,1
0.3,balanced_tree,-2.141349800090064,1.4316765800898394,67,0.0,1,1
0.3,seniority,-2.1008876397194354,0.05484805979752079,58,-2.259477327459797e-16,1,1
0.4,matching,-2.141349800090064,1.496731580619484,67,0.0,1,1
0.4,ring,-2.141349800090064,2.389283299251054,68,0.0,1,1
0.4,hub,-2.141349800090064,2.142854738848845,68,0.0,1,1
0.4,balanced_tree,-2.141349800090064,2.198516109440593,68,0.0,1,1
0.4,seniority,-2.1008876397194354,0.08410892943810382,68,-2.259477327459797e-16,1,1
0.5,matching,-2.141349800090064,1.8082269289071153,67,0.0,1,1
0.5,ring,-2.141349800090064,2.9983710337298017,70,0.0,1,1
0.5,hub,-2.141349800090064,2.7786285815266227,70,0.0,1,1
0.5,balanced_tree,-2.141349800090064,2.8679275413656575,70,0.0,1,1
0.5,seniority,-2.1008876397194354,0.1094612111455298,68,-2.259477327459797e-16,1,1
0.6,matching,-2.141349800090064,1.959759552455585,70,0.0,1,1
0.6,ring,-2.141349800090064,3.4006485304761034,70,0.0,1,1
0.6,hub,-2.141349800090064,3.2522761743247335,70,0.0,1,1
0.6,balanced_tree,-2.141349800090064,3.3633391053908968,70,2.220446049250313e-16,1,1
0.6,seniority,-2.1008876397194354,0.12792904226497537,70,-2.259477327459797e-16,1,1
0.7,matching,-2.141349800090064,1.999451655867965,70,0.0,1,1
0.7,ring,-2.141349800090064,3.6345872625259177,70,0.0,1,1
0.7,hub,-2.141349800090064,3.564565310102926,70,0.0,1,1
0.7,balanced_tree,-2.141349800090064,3.67670138228494,70,0.0,1,1
0.7,seniority,-2.1008876397194354,0.13947728836746354,70,-2.259477327459797e-16,1,1
0.8,matching,-2.141349800090064,1.9933119465846338,70,0.0,1,1
0.8,ring,-2.141349800090064,3.768931564330284,70,0.0,1,1
0.8,hub,-2.141349800090064,3.7531920085294903,70,0.0,1,1
0.8,balanced_tree,-2.141349800090064,3.846298617148188,70,0.0,1,1
0.8,seniority,-2.1008876397194354,0.14617901110062734,70,-2.259477327459797e-16,1,1
0.9,matching,-2.141349800090064,1.986058286610082,70,0.0,1,1
0.9,ring,-2.141349800090064,3.8571908002652053,70,0.0,1,1
0.9,hub,-2.141349800090064,3.8626238563415836,70,0.0,1,1
0.9,balanced_tree,-2.141349800090064,3.9255197988954413,70,0.0,1,1
0.9,seniority,-2.1008876397194354,0.15066955057216155,70,-2.259477327459797e-16,1,1
1.0,matching,-2.141349800090064,1.989790249895437,70,0.0,1,1
1.0,ring,-2.141349800090064,3.9217357333410083,70,0.0,1,1
1.0,hub,-2.141349800090064,3.926179680726651,70,0.0,1,1
1.0,balanced_tree,-2.141349800090064,3.959546011337226,70,0.0,1,1
1.0,seniority,-2.1008876397194354,0.15474779700122315,70,-2.259477327459797e-16,1,1
1.1,matching,-2.141349800090064,1.9971011066136646,70,0.0,1,1
1.1,ring,-2.141349800090064,3.9646737675582338,70,0.0,1,1
1.1,hub,-2.141349800090064,3.9631177157421336,70,0.0,1,1
1.1,balanced_tree,-2.141349800090064,3.976325886760581,70,0.0,1,1
1.1,seniority,-2.1008876397194354,0.15877128063928825,70,-2.259477327459797e-16,1,1
1.2,matching,-2.141349800090064,1.9999987324387423,70,0.0,1,1
1.2,ring,-2.141349800090064,3.9861477825932967,70,0.0,1,1
1.2,hub,-2.141349800090064,3.9836407564732825,70,0.0,1,1
1.2,balanced_tree,-2.141349800090064,3.9880585714953614,70,0.0,1,1
1.2,seniority,-2.1008876397194354,0.16195855704403966,70,-2.259477327459797e-16,1,1
